[Id],[A][TNF_VS_Control],[M][TNF_VS_Control],[P][TNF_VS_Control],[As][TNF_VS_Control]
200811_at,11.36884995,-0.134703549,0.792055528,0
200812_at,11.33114534,0.001367685,0.999941005,0
200813_s_at,10.04072604,-0.119322546,0.819021382,0
200814_at,11.79319933,0.154082825,0.609234218,0
200815_s_at,10.21911119,0.012611815,0.999941005,0
200816_s_at,10.40710547,-0.218849504,0.593522461,0
200817_x_at,13.78386748,-0.023791665,0.999941005,0
200818_at,12.04344067,-0.070164696,0.975283725,0
200819_s_at,13.86909811,-0.039093272,0.999941005,0
200820_at,11.05732371,-0.052170715,0.999941005,0
200821_at,9.163385499,0.151525432,0.9731534,0
200822_x_at,12.60827416,-0.008737394,0.999941005,0
200823_x_at,13.21565071,-0.07207578,0.975110142,0
200824_at,11.48186747,-0.052263491,0.999941005,0
200825_s_at,11.3209535,0.089873309,0.942599344,0
200826_at,12.2268799,-0.078262563,0.989806068,0
200827_at,9.205444688,-0.003132246,0.999941005,0
200828_s_at,11.66587813,-0.153331175,0.90037547,0
200829_x_at,11.36123565,-0.10995925,0.876545728,0
200830_at,11.07160491,0.01337946,0.999941005,0
200831_s_at,9.959710871,-0.128684566,0.892739324,0
200832_s_at,10.82079855,-0.160398124,0.608882242,0
200833_s_at,11.80105254,0.198170582,0.411081203,0
200834_s_at,12.9860451,0.032856821,0.999941005,0
200835_s_at,8.183429044,0.03743116,0.999941005,0
200836_s_at,10.92352878,0.20377433,0.610868397,0
200837_at,10.66711714,0.095069737,0.947809438,0
200838_at,10.7578509,-0.068105252,0.999941005,0
200839_s_at,11.56515876,-0.084824841,0.948544417,0
200840_at,12.19010985,0.01386735,0.999941005,0
200841_s_at,8.987543554,-0.183156326,0.881828937,0
200842_s_at,9.469758885,-0.238201508,0.413295699,0
200843_s_at,9.59932423,-0.118449023,0.803921089,0
200844_s_at,12.20101114,0.04723251,0.999941005,0
200845_s_at,11.15144974,-0.005599333,0.999941005,0
200846_s_at,11.24476601,-0.079052644,0.972821724,0
200847_s_at,10.45575363,-0.294252016,0.432561461,0
200848_at,10.14950817,-0.051947629,0.999941005,0
200849_s_at,9.591726612,-0.095326047,0.941871102,0
200850_s_at,10.74860537,-0.094089039,0.944109735,0
200851_s_at,10.68949114,0.028399523,0.999941005,0
200852_x_at,10.55614531,0.122910407,0.975933229,0
200853_at,12.75667813,-0.094983687,0.901635497,0
200854_at,9.560995634,-0.077043624,0.999941005,0
200855_at,7.548929571,-0.192194723,0.56141541,0
200856_x_at,8.019595383,-0.276143705,0.255784074,0
200857_s_at,9.483064897,-0.183488827,0.632100792,0
200858_s_at,12.49651224,-0.140931619,0.759953531,0
200859_x_at,11.75779568,0.084164796,0.977379517,0
200860_s_at,11.14090052,-0.06668575,0.980167187,0
200861_at,8.996213969,-0.149359978,0.651982876,0
200862_at,11.75993939,-0.162584398,0.702319872,0
200863_s_at,11.8814067,-0.084392075,0.942599344,0
200864_s_at,9.135034529,-0.080092103,0.999941005,0
200865_at,4.383160747,-0.044707576,0.999941005,0
200866_s_at,11.6956134,-0.004045228,0.999941005,0
200867_at,9.18259369,0.273315008,0.525584815,0
200868_s_at,9.490906091,0.172904337,0.595075302,0
200869_at,12.97448646,-0.088077396,0.916535629,0
200870_at,11.92800923,0.011076958,0.999941005,0
200871_s_at,12.49872826,0.0041128,0.999941005,0
200872_at,13.06354519,-0.014414478,0.999941005,0
200873_s_at,11.7545927,-0.033143695,0.999941005,0
200874_s_at,8.842063073,-0.038730592,0.999941005,0
200875_s_at,10.68989541,0.05907873,0.999941005,0
200876_s_at,11.87333617,-0.017668696,0.999941005,0
200877_at,12.7139242,-0.027608516,0.999941005,0
200878_at,11.88044951,0.026991489,0.999941005,0
200879_s_at,8.742579948,0.192841274,0.999941005,0
200880_at,11.36497965,0.287848347,0.173910751,0
200881_s_at,11.99355835,0.273364321,0.231169695,0
200882_s_at,10.55835139,-0.113418107,0.947153185,0
200883_at,9.83695686,-0.168800811,0.669236597,0
200884_at,8.489867173,-0.08064196,0.963655079,0
200885_at,12.02543192,0.136449901,0.853763942,0
200886_s_at,12.99882403,0.048938901,0.999941005,0
200887_s_at,10.77849979,0.549680852,0.048823623,1
200888_s_at,12.87014468,-0.099577996,0.89237547,0
200889_s_at,9.686707038,-0.178763548,0.852774517,0
200890_s_at,9.422907491,-0.155869842,0.973664524,0
200891_s_at,11.22646081,-0.067968218,0.999941005,0
200892_s_at,10.70425328,-0.236449501,0.462487372,0
200893_at,11.77869654,-0.144358029,0.687521839,0
200894_s_at,8.27214934,-0.011085947,0.999941005,0
200895_s_at,10.07655884,-0.047790842,0.999941005,0
200896_x_at,11.94485187,0.313083019,0.231207069,0
200897_s_at,11.78320065,0.064302179,0.987048115,0
200898_s_at,9.79361253,-0.05342545,0.999941005,0
200899_s_at,9.864079824,-0.116998511,0.946405603,0
200900_s_at,9.346254906,-0.122528103,0.975110142,0
200901_s_at,10.1287454,0.046992228,0.999941005,0
200902_at,10.25728309,-0.123924426,0.879326707,0
200903_s_at,10.76333387,0.013301474,0.999941005,0
200904_at,9.102428308,0.196978499,0.687502364,0
200905_x_at,11.45857435,0.188588638,0.550372088,0
200906_s_at,9.48125689,-0.109708506,0.999941005,0
200907_s_at,11.49744753,0.022165386,0.999941005,0
200908_s_at,7.082493665,-0.109845211,0.984738403,0
200909_s_at,12.90671256,-0.061331286,0.999941005,0
200910_at,11.95398563,-0.016605885,0.999941005,0
200911_s_at,10.97010162,-0.150725717,0.73618118,0
200912_s_at,12.40828426,-0.004248807,0.999941005,0
200913_at,10.42856646,0.028733069,0.999941005,0
200914_x_at,9.732162882,-0.088763851,0.973664524,0
200915_x_at,11.58016985,-0.015767052,0.999941005,0
200916_at,12.1959968,0.125981253,0.840722334,0
200917_s_at,9.591837748,-0.020172117,0.999941005,0
200918_s_at,10.98548614,0.051237516,0.999941005,0
200919_at,10.50354636,0.324659298,0.174736153,0
200920_s_at,8.348983604,0.164119146,0.885424775,0
200921_s_at,8.261676896,0.197541303,0.855985524,0
200922_at,10.18447386,0.013703079,0.999941005,0
200923_at,10.3275892,0.213697973,0.674223616,0
200924_s_at,10.35329111,0.250791884,0.312809248,0
200925_at,12.36228417,-0.076610122,0.956587569,0
200926_at,13.67974215,0.009298462,0.999941005,0
200927_s_at,10.53736551,-0.16631845,0.685861346,0
200928_s_at,4.98244306,-0.231096768,0.293691048,0
200929_at,10.60254431,-0.129404035,0.817499119,0
200930_s_at,6.251025906,0.140027336,0.933757534,0
200931_s_at,12.27609979,-0.030228485,0.999941005,0
200932_s_at,10.9878365,-0.004355977,0.999941005,0
200933_x_at,13.37729516,-0.030293085,0.999941005,0
200934_at,11.64911178,-0.150515312,0.651365867,0
200935_at,9.636712762,0.399501671,0.26828043,0
200936_at,13.10606874,-0.002442275,0.999941005,0
200937_s_at,12.53052603,-0.114279655,0.802815158,0
200938_s_at,5.148312782,-0.01895649,0.999941005,0
200939_s_at,6.496390242,-0.000378211,0.999941005,0
200940_s_at,9.492918953,-0.099791044,0.878651968,0
200941_at,10.11193193,-0.055058525,0.999941005,0
200942_s_at,10.98354684,-0.113602019,0.876545728,0
200943_at,12.44223362,-0.191313631,0.563136047,0
200944_s_at,12.36644495,-0.17322353,0.516643263,0
200945_s_at,11.3602149,-5.06E-05,0.999941005,0
200946_x_at,9.862168669,0.061485041,0.999941005,0
200947_s_at,10.33315723,0.055311986,0.999941005,0
200948_at,10.44589723,0.040614964,0.999941005,0
200949_x_at,12.55009662,-0.102917804,0.900086489,0
200950_at,11.59348762,-0.134748467,0.809343333,0
200951_s_at,6.185205318,-0.125459353,0.885181084,0
200952_s_at,6.024439861,-0.039853831,0.999941005,0
200953_s_at,5.106208087,0.041466053,0.999941005,0
200954_at,10.57457405,-0.031909978,0.999941005,0
200955_at,10.81332733,-0.171462192,0.544850787,0
200956_s_at,10.58477815,-0.070449977,0.999941005,0
200957_s_at,10.48438685,0.045855088,0.999941005,0
200958_s_at,11.74680657,0.27898444,0.181270976,0
200959_at,11.02317906,0.009333138,0.999941005,0
200960_x_at,11.81806898,-0.057232764,0.999941005,0
200961_at,9.064689239,-0.171282319,0.857555928,0
200962_at,8.045587566,-0.174965004,0.594816667,0
200963_x_at,13.27638728,6.68E-05,0.999941005,0
200964_at,11.52562532,0.06817806,0.999941005,0
200965_s_at,10.2854231,0.252095071,0.463323561,0
200966_x_at,12.97838314,0.016234381,0.999941005,0
200967_at,10.93005083,0.174450518,0.702121309,0
200968_s_at,11.3000086,0.173959315,0.652891037,0
200969_at,9.642152274,0.044379669,0.999941005,0
200970_s_at,9.889106764,0.131881877,0.897025695,0
200971_s_at,11.39445293,0.017402665,0.999941005,0
200972_at,10.99085167,-0.208263723,0.732279076,0
200973_s_at,10.5900836,-0.25170884,0.429201263,0
200974_at,9.22403989,-0.062914119,0.999941005,0
200975_at,10.75962922,-0.179361925,0.614612492,0
200976_s_at,10.41275499,0.08956247,0.940436282,0
200977_s_at,10.44673807,0.0413239,0.999941005,0
200978_at,12.11808589,-0.135136513,0.73421739,0
200979_at,8.424913894,0.031800609,0.999941005,0
200980_s_at,10.59921361,0.052825537,0.999941005,0
200981_x_at,13.21532503,-0.102289554,0.920465733,0
200982_s_at,10.01491439,0.213829139,0.413576301,0
